,name,capital,population
178,Poland,Warsaw,37950802
179,Portugal,Lisbon,10305564
180,Puerto Rico,San Juan,3194034
181,Qatar,Doha,2881060
182,Republic of Kosovo,Pristina,1775378
183,Réunion,Saint-Denis,840974
184,Romania,Bucharest,19286123
185,Russian Federation,Moscow,144104080
186,Rwanda,Kigali,12952209
187,Saint Barthélemy,Gustavia,9417
188,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,4255
189,Saint Kitts and Nevis,Basseterre,53192
190,Saint Lucia,Castries,183629
191,Saint Martin (French part),Marigot,38659
192,Saint Pierre and Miquelon,Saint-Pierre,6069
193,Saint Vincent and the Grenadines,Kingstown,110947
194,Samoa,Apia,198410
195,San Marino,City of San Marino,33938
196,Sao Tome and Principe,São Tomé,219161
197,Saudi Arabia,Riyadh,34813867
198,Senegal,Dakar,16743930
199,Serbia,Belgrade,6908224
200,Seychelles,Victoria,98462
201,Sierra Leone,Freetown,7976985
202,Singapore,Singapore,5685807
203,Sint Maarten (Dutch part),Philipsburg,40812
204,Slovakia,Bratislava,5458827
205,Slovenia,Ljubljana,2100126
206,Solomon Islands,Honiara,686878
207,Somalia,Mogadishu,15893219
208,South Africa,Pretoria,59308690
209,South Georgia and the South Sandwich Islands,King Edward Point,30
210,Korea (Republic of),Seoul,51780579
211,Spain,Madrid,47351567
212,Sri Lanka,Sri Jayawardenepura Kotte,21919000
213,Sudan,Khartoum,43849269
214,South Sudan,Juba,11193729
215,Suriname,Paramaribo,586634
216,Svalbard and Jan Mayen,Longyearbyen,2562
217,Swaziland,Mbabane,1160164
218,Sweden,Stockholm,10353442
219,Switzerland,Bern,8636896
220,Syrian Arab Republic,Damascus,17500657
221,Taiwan,Taipei,23503349
222,Tajikistan,Dushanbe,9537642
223,"Tanzania, United Republic of",Dodoma,59734213
224,Thailand,Bangkok,69799978
225,Timor-Leste,Dili,1318442
226,Togo,Lomé,8278737
227,Tokelau,Fakaofo,1411
228,Tonga,Nuku'alofa,105697
229,Trinidad and Tobago,Port of Spain,1399491
230,Tunisia,Tunis,11818618
231,Turkey,Ankara,84339067
232,Turkmenistan,Ashgabat,6031187
233,Turks and Caicos Islands,Cockburn Town,38718
234,Tuvalu,Funafuti,11792
235,Uganda,Kampala,45741000
236,Ukraine,Kyiv,44134693
237,United Arab Emirates,Abu Dhabi,9890400
238,United Kingdom of Great Britain and Northern Ireland,London,67215293
239,United States of America,"Washington, D.C.",329484123
240,Uruguay,Montevideo,3473727
241,Uzbekistan,Tashkent,34232050
242,Vanuatu,Port Vila,307150
243,Venezuela (Bolivarian Republic of),Caracas,28435943
244,Vietnam,Hanoi,97338583
245,Wallis and Futuna,Mata-Utu,11750
246,Western Sahara,El Aaiún,510713
247,Yemen,Sana'a,29825968
248,Zambia,Lusaka,18383956
249,Zimbabwe,Harare,14862927
